Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
MR-4,Abrasion Test ,67,19.868,4.632508,12.851484,461.42,,66.83,,,,,,,,159,,40,60,,,,,,,,,,50,,,,3,,,,,,,10,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
MR-5,Abrasion Test ,67,15.912,4.925614,12.0299875,390.18,,46.898,,,,,,,,173,,20,80,,,,,,,,,,50,,,,3,,,,,,,10,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
N330-ARDL-PN 169620,Abrasion Test ,65,25.1,3.1,14.9,494,48,64.7,135.4,97,,,,,,163,,70,,30,,,,,,65,,,,,,,,,,,,,12,,,,,,4,1,2,,,1.5,,,,,,,,,1.5,,,3,1,100
Nocil Ltd - 30,"MBT 0,5",65,22.6,,8.6,650,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,0.5,,,,1.75,,,2.3,0.3,100
Nocil Ltd - 30,MBT 1,66,25,,10,620,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,1,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"MBT 1,5",68,22.5,,11.5,500,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,1.5,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"MBTS 0,5",65,29,,10.2,730,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,0.5,,,,,1.75,,,2.3,0.3,100
Nocil Ltd - 30,MBTS 1,66,29,,12,620,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,1,,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"MBTS 1,5",68,25,,16,450,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,1.5,,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"CBS 0,5",64,27.4,,10.4,620,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,0.5,,,,,,,1.75,,,2.3,0.3,100
